,status,walkscore,snapped_lat,snapped_lon,bike_score
210,1,64.0,47.4495,-122.157,43.0
211,1,51.0,47.412,-122.2935,42.0
212,1,81.0,47.6835,-122.3295,94.0
213,1,80.0,47.7285,-122.343,78.0
214,1,92.0,47.6235,-122.3175,83.0
215,1,91.0,47.6175,-122.3025,82.0
216,1,9.0,47.448,-122.13,16.0
217,1,70.0,47.6685,-122.331,85.0
218,1,49.0,47.73,-122.334,56.0
219,1,8.0,47.394,-122.025,46.0
220,1,65.0,47.5875,-122.313,90.0
221,1,15.0,47.259,-122.187,9.0
222,1,70.0,47.6475,-122.3835,78.0
223,1,25.0,47.343,-122.283,31.0
224,1,47.0,47.6565,-122.286,64.0
225,1,69.0,47.5425,-122.3745,54.0
226,1,42.0,47.5245,-121.8135,47.0
227,1,1.0,47.7435,-122.055,9.0
228,1,9.0,47.6445,-122.067,33.0
229,1,25.0,47.448,-122.2125,24.0
230,1,23.0,47.331,-122.3475,29.0
231,1,22.0,47.6715,-122.1495,56.0
232,1,82.0,47.6895,-122.373,78.0
233,1,66.0,41.967,-91.719,47.0
234,1,28.0,47.49,-121.773,48.0
235,1,29.0,47.3955,-122.3085,37.0
236,1,49.0,42.1965,-70.7325,42.0
237,1,11.0,47.373,-122.139,44.0
238,1,19.0,47.7045,-122.31,37.0
239,1,52.0,40.1865,-105.1245,53.0
240,1,79.0,47.6865,-122.2905,92.0
241,1,7.0,47.61,-122.0625,24.0
242,1,70.0,47.5725,-122.163,42.0
243,1,1.0,47.748,-122.1195,34.0
244,1,45.0,47.307,-122.3385,54.0
245,1,53.0,34.2225,-118.479,46.0
246,1,67.0,47.4975,-121.7805,61.0
247,1,15.0,47.5185,-122.211,47.0
248,1,27.0,47.7,-122.3145,78.0
249,1,64.0,47.598,-122.151,72.0
250,1,63.0,47.694,-122.385,66.0
251,1,0.0,47.6385,-122.0205,9.0
252,1,47.0,47.502,-122.3175,32.0
253,1,54.0,47.634,-122.2995,74.0
254,1,65.0,47.568,-122.361,65.0
255,1,37.0,47.5395,-122.178,41.0
256,1,48.0,47.703,-122.0235,47.0
257,1,67.0,47.574,-122.4135,76.0
258,1,22.0,47.688,-122.1225,48.0
259,1,25.0,47.724,-122.3175,57.0
260,1,65.0,47.5485,-122.3745,66.0
261,1,25.0,47.4195,-122.22,7.0
262,1,84.0,47.5485,-122.385,75.0
263,1,62.0,47.5725,-122.3715,67.0
264,1,68.0,47.574,-122.379,63.0
265,1,44.0,47.3595,-122.1585,34.0
266,1,66.0,47.7465,-121.9845,31.0
267,1,50.0,47.7285,-122.2005,61.0
268,1,56.0,47.49,-122.241,21.0
269,1,43.0,47.7465,-122.316,56.0
270,1,37.0,47.5395,-122.178,41.0
271,1,90.0,47.61,-122.3115,88.0
272,1,61.0,47.508,-122.1765,46.0
273,1,2.0,47.274,-122.0565,1.0
274,1,5.0,47.28,-122.055,22.0
275,1,37.0,47.4225,-122.202,37.0
276,1,46.0,47.67,-122.1855,55.0
277,1,14.0,47.5425,-121.878,12.0
278,1,14.0,47.736,-122.202,19.0
279,1,49.0,47.439,-122.3385,46.0
280,1,45.0,47.487,-122.2365,26.0
281,1,24.0,47.5335,-122.1825,13.0
282,1,32.0,47.4195,-122.3295,27.0
283,1,69.0,47.682,-122.367,77.0
284,1,56.0,47.6265,-122.2095,33.0
285,1,22.0,47.505,-122.238,29.0
286,1,82.0,47.5425,-122.3895,73.0
287,1,85.0,47.6865,-122.379,75.0
288,1,91.0,47.6775,-122.328,84.0
289,1,47.0,47.595,-122.1345,56.0
290,1,49.0,47.3655,-122.0205,63.0
