,status,walkscore,snapped_lat,snapped_lon,bike_score
75,1,5.0,47.5365,-122.2425,14.0
76,1,2.0,47.5455,-122.2095,32.0
77,1,8.0,47.6385,-122.232,41.0
78,1,23.0,47.6295,-122.3625,60.0
79,1,10.0,47.6385,-122.241,26.0
80,1,24.0,47.6925,-122.2695,52.0
81,1,30.0,47.6025,-122.2095,9.0
82,1,3.0,47.7465,-122.3715,10.0
83,1,51.0,47.7045,-122.22,41.0
84,1,51.0,47.7045,-122.22,41.0
85,1,69.0,47.6805,-122.214,51.0
86,1,11.0,47.595,-122.211,29.0
87,1,33.0,47.6235,-122.2155,14.0
88,1,57.0,47.607,-122.211,10.0
89,1,5.0,47.643,-122.241,18.0
90,1,57.0,47.607,-122.211,10.0
91,1,4.0,47.571,-122.1915,39.0
92,1,14.0,47.6985,-122.232,31.0
93,1,65.0,47.6595,-122.202,46.0
94,1,21.0,47.6355,-122.2365,50.0
95,1,11.0,47.529,-122.22,37.0
96,1,7.0,47.5695,-122.1885,50.0
97,1,15.0,47.6235,-122.223,25.0
98,1,12.0,47.7015,-122.244,32.0
99,1,16.0,47.5785,-122.1915,60.0
100,1,22.0,47.6235,-122.235,23.0
101,1,5.0,47.5695,-122.193,39.0
102,1,15.0,47.5965,-122.2095,8.0
103,1,14.0,47.754,-122.13,15.0
104,1,14.0,47.5935,-122.2065,10.0
105,1,4.0,47.5695,-122.0895,34.0
106,1,25.0,47.637,-122.2035,33.0
107,1,69.0,47.6295,-122.2815,36.0
108,1,4.0,47.571,-122.1915,39.0
109,1,30.0,47.6865,-122.217,38.0
110,1,5.0,47.535,-122.241,12.0
111,1,22.0,47.6355,-122.2215,37.0
112,1,5.0,47.5635,-122.211,8.0
113,1,9.0,47.562,-122.2305,10.0
114,1,27.0,47.6175,-122.2365,26.0
115,1,5.0,47.6475,-122.217,25.0
116,1,7.0,47.64,-122.241,26.0
117,1,73.0,47.625,-122.2875,63.0
118,1,17.0,47.6295,-122.22,28.0
119,1,1.0,47.7255,-122.0445,19.0
120,1,6.0,47.4765,-122.0415,19.0
121,1,20.0,47.64,-122.289,48.0
122,1,61.0,47.664,-122.208,63.0
123,1,14.0,47.754,-122.13,15.0
124,1,35.0,47.5845,-122.2215,38.0
125,1,72.0,47.304,-122.31,36.0
126,1,69.0,47.304,-122.3085,46.0
127,1,41.0,47.637,-122.2065,20.0
128,1,6.0,47.5575,-122.079,30.0
129,1,34.0,47.622,-122.214,27.0
130,1,3.0,47.646,-122.085,53.0
131,1,17.0,47.667,-122.2635,54.0
132,1,7.0,47.5695,-122.0625,49.0
133,1,5.0,47.5725,-121.9845,34.0
134,1,13.0,47.6475,-122.415,18.0
135,1,13.0,47.6985,-122.235,31.0
136,1,23.0,47.601,-122.2065,10.0
137,1,8.0,47.67,-122.2575,48.0
138,1,8.0,47.64,-122.235,31.0
139,1,16.0,47.5725,-122.205,31.0
140,1,65.0,47.526,-122.316,67.0
141,1,25.0,47.637,-122.2125,30.0
142,1,1.0,47.721,-122.2605,40.0
143,1,74.0,47.6145,-122.211,25.0
144,1,27.0,47.6385,-122.289,37.0
145,1,11.0,47.5275,-122.223,37.0
146,1,74.0,47.631,-122.283,36.0
147,1,5.0,47.6475,-122.2185,24.0
148,1,21.0,47.622,-122.22,22.0
149,1,25.0,47.5905,-122.199,35.0
150,1,54.0,47.619,-122.2155,24.0
151,1,16.0,47.628,-122.2215,16.0
152,1,24.0,47.634,-122.2215,33.0
153,1,59.0,47.628,-122.196,63.0
154,1,26.0,47.6355,-122.2125,34.0
155,1,4.0,47.6475,-122.214,13.0
156,1,8.0,47.532,-122.2335,10.0
157,1,33.0,47.604,-122.211,9.0
158,1,1.0,47.5545,-122.1945,35.0
159,1,13.0,47.5815,-122.2035,54.0
160,1,56.0,47.541,-122.025,65.0
161,1,56.0,47.541,-122.025,65.0
162,1,58.0,47.631,-122.322,90.0
163,1,26.0,47.619,-122.235,33.0
164,1,85.0,47.628,-122.3505,79.0
165,1,39.0,47.607,-122.2125,8.0
166,1,33.0,47.616,-122.22,36.0
167,1,87.0,47.6295,-122.355,57.0
168,1,29.0,47.634,-122.193,36.0
169,1,27.0,47.6385,-122.211,33.0
170,1,11.0,47.6115,-122.226,8.0
171,1,75.0,47.6235,-122.2065,37.0
172,1,18.0,47.622,-122.2215,18.0
173,1,14.0,47.625,-122.223,18.0
174,1,19.0,47.634,-122.232,49.0
175,1,2.0,47.6325,-122.088,21.0
