,status,walkscore,description,updated,logo_url,more_info_icon,more_info_link,ws_link,help_link,snapped_lat,snapped_lon,transit,bike
35,1,21.0,Car-Dependent,2023-02-09 03:23:51.878520,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.665625/lng=-122.409095/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6655,-122.409,"{'score': None, 'description': None, 'summary': None}","{'score': 27, 'description': 'Somewhat Bikeable'}"
36,1,22.0,Car-Dependent,2023-02-09 04:04:59.899700,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.639005/lng=-122.214107/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6385,-122.214,,"{'score': 37, 'description': 'Somewhat Bikeable'}"
37,1,5.0,Car-Dependent,2022-10-06 16:25:36.770151,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.47509/lng=-121.76786/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.475,-121.7685,,"{'score': 27, 'description': 'Somewhat Bikeable'}"
38,1,37.0,Car-Dependent,2023-02-09 07:36:28.452436,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.35236/lng=-122.175035/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.352,-122.175,"{'score': None, 'description': None, 'summary': None}","{'score': 33, 'description': 'Somewhat Bikeable'}"
39,1,8.0,Car-Dependent,2023-02-09 07:57:15.793146,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.310595/lng=-122.12938/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.31,-122.13,,"{'score': 25, 'description': 'Somewhat Bikeable'}"
40,1,25.0,Car-Dependent,2023-02-09 07:38:48.330963,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.46673/lng=-122.214/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.466,-122.214,"{'score': None, 'description': None, 'summary': None}","{'score': 18, 'description': 'Somewhat Bikeable'}"
41,1,60.0,Somewhat Walkable,2023-02-09 04:11:31.190208,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.678755/lng=-122.11522/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.679,-122.115,"{'score': None, 'description': None, 'summary': None}","{'score': 58, 'description': 'Bikeable'}"
42,1,23.0,Car-Dependent,2023-02-09 04:25:51.461763,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.589/lng=-122.19474/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.589,-122.1945,"{'score': None, 'description': None, 'summary': None}","{'score': 42, 'description': 'Somewhat Bikeable'}"
43,1,10.0,Car-Dependent,2023-02-09 04:23:04.911205,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.74546/lng=-122.19498/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.745,-122.1945,"{'score': None, 'description': None, 'summary': None}","{'score': 44, 'description': 'Somewhat Bikeable'}"
44,1,25.0,Car-Dependent,2023-02-09 04:35:39.883422,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.63255/lng=-122.115375/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.6325,-122.115,"{'score': None, 'description': None, 'summary': None}","{'score': 51, 'description': 'Bikeable'}"
